R1,rel_01,P75
R2,rel_01,P74
R3,rel_01,P4
R3,rel_01,P30
R3,rel_01,P74
R5,rel_01,P75
R6,rel_01,P41
R6,rel_01,P75
R11,rel_01,P6
R11,rel_01,P38
R19,rel_01,P6
R19,rel_01,P38
R21,rel_01,P28
R21,rel_01,P38
R25,rel_01,P6
R25,rel_01,P38
R25,rel_01,P49
R29,rel_01,P75
R30,rel_01,P74
R31,rel_01,P74
R34,rel_01,P74
R48,rel_01,P6
R48,rel_01,P17
R48,rel_01,P38
R48,rel_01,P46
R48,rel_01,P67
R48,rel_01,P74
R48,rel_01,P79
R48,rel_01,P82
R48,rel_01,P88
R50,rel_01,P71
R52,rel_01,P74
R54,rel_01,P86
R1,rel_02,R5
R1,rel_02,R6
R1,rel_02,R29
R2,rel_02,R3
R2,rel_02,R30
R2,rel_02,R31
R4,rel_02,R22
R4,rel_02,R39
R4,rel_02,R55
R7,rel_02,R8
R7,rel_02,R38
R9,rel_02,R12
R9,rel_02,R15
R9,rel_02,R26
R9,rel_02,R32
R9,rel_02,R35
R9,rel_02,R41
R9,rel_02,R43
R9,rel_02,R47
R10,rel_02,R18
R10,rel_02,R40
R11,rel_02,R19
R11,rel_02,R25
R11,rel_02,R48
R13,rel_02,R14
R13,rel_02,R16
R13,rel_02,R33
R13,rel_02,R45
R13,rel_02,R46
R17,rel_02,R36
R27,rel_02,R42
R28,rel_02,R44
R30,rel_02,R34
R30,rel_02,R48
R30,rel_02,R52
R48,rel_02,R49
P1,rel_01,G16
P1,rel_01,G18
P1,rel_01,G49
P1,rel_01,G50
P1,rel_01,G54
P2,rel_01,G18
P2,rel_01,G27
P2,rel_01,G30
P11,rel_01,G18
P11,rel_01,G26
P11,rel_01,G52
P12,rel_01,G7
P12,rel_01,G16
P12,rel_01,G18
P12,rel_01,G26
P12,rel_01,G49
P12,rel_01,G50
P12,rel_01,G52
P12,rel_01,G54
P14,rel_01,G18
P14,rel_01,G26
P14,rel_01,G52
P16,rel_01,G18
P16,rel_01,G26
P16,rel_01,G52
P17,rel_01,G18
P17,rel_01,G26
P17,rel_01,G32
P17,rel_01,G52
P17,rel_01,G56
P18,rel_01,G18
P18,rel_01,G31
P19,rel_01,G4
P19,rel_01,G5
P19,rel_01,G53
P19,rel_01,G61
P19,rel_01,G62
P21,rel_01,G18
P21,rel_01,G27
P22,rel_01,G18
P22,rel_01,G27
P22,rel_01,G30
P25,rel_01,G7
P25,rel_01,G18
P25,rel_01,G26
P25,rel_01,G52
P25,rel_01,G54
P27,rel_01,G10
P27,rel_01,G18
P27,rel_01,G46
P34,rel_01,G12
P34,rel_01,G18
P37,rel_01,G7
P37,rel_01,G18
P37,rel_01,G26
P37,rel_01,G52
P37,rel_01,G54
P38,rel_01,G8
P38,rel_01,G21
P38,rel_01,G41
P38,rel_01,G43
P38,rel_01,G48
P45,rel_01,G7
P45,rel_01,G18
P45,rel_01,G26
P45,rel_01,G52
P45,rel_01,G54
P46,rel_01,G18
P49,rel_01,G8
P49,rel_01,G13
P49,rel_01,G48
P52,rel_01,G12
P52,rel_01,G18
P52,rel_01,G26
P52,rel_01,G27
P52,rel_01,G30
P52,rel_01,G52
P54,rel_01,G7
P54,rel_01,G18
P54,rel_01,G26
P54,rel_01,G52
P54,rel_01,G54
P55,rel_01,G7
P55,rel_01,G18
P55,rel_01,G26
P55,rel_01,G52
P55,rel_01,G54
P67,rel_01,G18
P72,rel_01,G12
P72,rel_01,G18
P74,rel_01,G18
P74,rel_01,G52
P74,rel_01,G56
P77,rel_01,G9
P77,rel_01,G11
P77,rel_01,G18
P77,rel_01,G23
P77,rel_01,G26
P77,rel_01,G34
P77,rel_01,G52
P78,rel_01,G18
P78,rel_01,G26
P78,rel_01,G27
P78,rel_01,G30
P78,rel_01,G52
P79,rel_01,G18
P80,rel_01,G18
P80,rel_01,G27
P82,rel_01,G18
P83,rel_01,G18
P83,rel_01,G26
P83,rel_01,G52
P84,rel_01,G7
P84,rel_01,G18
P84,rel_01,G26
P84,rel_01,G52
P84,rel_01,G54
P88,rel_01,G18
